label,issues
topic/packages,1
performance/speed,1
module-testsetgen,1
v1.48,1
open-to-a-pull-request,1
feat: coverage,1
Core,1
Module: SQL,1
to-jira,1
jpa/jta,1
Evaluated Value,1
cdi,1
MP,1
Complexity: Large,1
Feature: Infrastructure,1
size: 1pt,1
Role: Back End,1
clang-format,1
accepted,1
released on @beta,1
Javascript Product,1
module:tests,1
component:database,1
mod/yr*,1
standard library,1
S-Needs-Investigation,1
P-Regression,1
C-Performance,1
wrangler,1
O: backlog 🤖,1
Work: Medium,1
Impact: Medium,1
tests/build/CI,1
solved-by/optimized-control-loading,1
area/mysql,1
mod*,1
type/performance,1
status/merged,1
metrics,1
need feedback,1
new collector,1
Design,1
Weekly,1
Reviewing,1
c-iroh,1
:crab: rust :crab:,1
v3.0.0,1
area/materialized views,1
I-Rust,1
area-System.Net.Quic,1
wgpu,1
State: WIP,1
Prio: High,1
processor/resourcedetection,1
os:windows,1
priority:p2,1
automation 🤖,1
team efficiency,1
tech,1
code,1
blocker,1
contributor guide,1
component: framework,1
release-12.3.0,1
team-extension-platform,1
area/raft,1
v2.14.0,1
Other,1
transformations,1
Help Wanted,1
service/network,1
models,1
software,1
Firmware: HLE,1
device compatibility,1
domain,1
v1.46,1
Performance 🏃‍♀️,1
Investigate,1
priority/P4,1
feature/tor,1
development,1
publish,1
accessibility,1
kind/cleanup,1
area/sa,1
area/tools,1
stage/accepted,1
theme/deployments,1
theme/consul,1
jira,1
kind/epic,1
effort/medium,1
os-browser,1
Maintainer - Josué Soto,1
compiler/runtime,1
Querying/X-rays,1
.Performance,1
Priority:P1,1
Type:Bug,1
design document,1
version:8.6.0-alpha1,1
area/performance,1
kind/toil,1
sig/cluster-management,1
NeedsFix,1
.Team/Workflows,1
lifecycle,1
c/storage/controller,1
LLK,1
area: Modem Drivers,1
s2n-core,1
size/medium,1
priority/low,1
🏷 status: label work required,1
⭐ goal: addition,1
.Backend,1
plugins,1
acknowledged,1
Duplicate,1
affect-version: 5.0.1,1
fix-version: 5.0.2,1
qa: done successfully,1
component: engine,1
sandboxes,1
testing🧪,1
lua,1
octave,1
upstream bug,1
S: in progress,1
railsconf-hackday,1
Design needed,1
X-unactionable,1
type: community contribution,1
sprint/unplanned,1
kind/bug 🐞,1
area/rust,1
techdebt,1
project: grants.gov,1
minimal,1
Confluent,1
area/continuous-testing,1
affect-version: 4.0.5,1
Install,1
enhancement: plugin rule option,1
branch-release-24.2,1
general,1
tech-improvement,1
priority:medium,1
effort:low,1
Squad/Blue,1
TestCase failing,1
provider-TRANSIP,1
Question,1
area: C Library,1
area / websites,1
area / infra,1
v25.2.5,1
v24.3.19,1
target-release-24.1.24,1
target-release-25.1.11,1
branch-release-24.3.15-rc,1
pdd,1
ODHack14,1
platform: X86,1
area: Toolchains,1
area/config,1
platform: ITE,1
Canvas,1
area/e2e-test,1
testing :test_tube:,1
performance :rocket:,1
c: commutative algebra,1
Subject(s),1
Refactor,1
dev-tooling,1
gh-actions,1
area: Kernel,1
area/networking,1
platform: nRF BSIM,1
A-import,1
Wallet,1
Release : 24.04.24 v8,1
Release : 23.10.24 v16,1
Release : 24.09.21,1
Team : Maintenance,1
OKR : Code Maintenance,1
Type : Defect,1
affect-version: 3.0.12,1
fix-version: 3.0.13,1
blocking-clean-ci,1
need more information,1
O: ics29-fee,1
CSS & UI,1
🟨 Priority: Medium,1
🖰 GUI,1
📈 Improvement,1
IDE Navigation,1
IDE Pod,1
IDE Product,1
feat,1
algebras,1
TR1,1
Easy to Fix,1
visualization,1
stateful_dataloader,1
Revive: Keep,1
Category: Build/CI,1
Category: Doc,1
Milestone:SV2,1
Component:SiliconValidation,1
TOP:earlgrey,1
O: testability,1
product,1
CI :gear:,1
New Feature,1
topic:gdscript,1
module/fim,1
topic:performance,1
unit-test-failure,1
awaiting:discussion,1
team/grafana-dashboards,1
area/scenes,1
area/dashboard,1
Testing / QA,1
Design Review,1
focus: e2e tests,1
documentation 📚,1
extensions 🔋,1
theme: java,1
area/ticdc,1
Accepted,1
owner: utrecht,1
PC,1
block: product collection,1
Kirigami,1
Component:DV,1
enhancement :rocket:,1
fix-version: 4.0.6,1
:construction: in-progress,1
system-test-module,1
category: engineering,1
performances :1st_place_medal:,1
area | hardware,1
plugin | testcloud,1
step | provision,1
compilation,1
area/virtual-threads,1
:rocket: enhancement,1
priority-p1,1
student programmer,1
needs discussion,1
E-less-complex,1
test-explorer,1
priority-low,1
🏚 stale,1
🎉 enhancement,1
MusicXML,1
needs review,1
area: Networking,1
CI & scripts,1
P-high,1
Performance-related,1
S-Ready-For-Implementation,1
v8.14.0,1
:ml/Transform,1
v2,1
workitem,1
area/bots,1
function:data,1
I-compiletime,1
prototype :hammer_and_wrench:,1
A-Picking,1
A-UI,1
area-VM-coreclr,1
D-average,1
housekeeping,1
infra,1
topic:core,1
0.kind: build failure,1
P3: important,1
Bug: Validated,1
engineering,1
oncall: cpu inductor,1
COMP/Library Testing,1
