repo_full_name,repo_url,repo_stars,repo_language,issues,median_ttc_days,avg_comments
rapidsai/cudf,https://github.com/rapidsai/cudf,9195,C++,4,276.50288773148145,3.5
project-chip/connectedhomeip,https://github.com/project-chip/connectedhomeip,8222,C++,4,14.913802083333334,1.75
enso-org/enso,https://github.com/enso-org/enso,7443,Java,4,23.1229224537037,9.25
winglang/wing,https://github.com/winglang/wing,5293,TypeScript,4,38.505185185185184,2.75
kotest/kotest,https://github.com/kotest/kotest,4665,Kotlin,4,118.62814814814816,6.5
open-telemetry/opentelemetry-collector-contrib,https://github.com/open-telemetry/opentelemetry-collector-contrib,4010,Go,4,1.909664351851852,7.25
facebookincubator/velox,https://github.com/facebookincubator/velox,3899,C++,4,1.1019386574074073,1.5
camunda/camunda,https://github.com/camunda/camunda,3806,Java,4,176.93717592592594,5.25
nunit/nunit,https://github.com/nunit/nunit,2584,C#,4,272.8562384259259,18.75
idaholab/moose,https://github.com/idaholab/moose,2045,C++,4,9.954693287037037,0.5
OpenLiberty/open-liberty,https://github.com/OpenLiberty/open-liberty,1214,Java,4,111.89578125,2.0
tikv/pd,https://github.com/tikv/pd,1124,Go,4,14.717390046296297,2.25
ZcashFoundation/zebra,https://github.com/ZcashFoundation/zebra,465,Rust,4,39.33089120370371,5.5
oxidecomputer/omicron,https://github.com/oxidecomputer/omicron,342,Rust,4,6.996799768518518,3.75
elastic/elastic-agent,https://github.com/elastic/elastic-agent,200,Go,4,44.37200810185185,8.5
gchq/sleeper,https://github.com/gchq/sleeper,88,Java,4,9.131325231481481,0.0
etylizer/etylizer,https://github.com/etylizer/etylizer,56,Erlang,4,423.7184375,3.0
murex/TCR,https://github.com/murex/TCR,50,Go,4,16.489768518518517,0.0
certego/BuffaLogs,https://github.com/certego/BuffaLogs,49,Python,4,14.739068287037037,0.5
GCTC-NTGC/gc-digital-talent,https://github.com/GCTC-NTGC/gc-digital-talent,24,TypeScript,4,20.841371527777778,1.0
gammasim/simtools,https://github.com/gammasim/simtools,11,Python,4,4.068194444444444,2.75
opensafely-core/ehrql,https://github.com/opensafely-core/ehrql,10,Python,4,24.008472222222224,3.25
denoland/deno,https://github.com/denoland/deno,104330,Rust,3,15.224745370370371,12.666666666666666
python/cpython,https://github.com/python/cpython,69013,Python,3,21.05013888888889,11.333333333333334
cypress-io/cypress,https://github.com/cypress-io/cypress,49271,TypeScript,3,92.26293981481481,20.333333333333332
pandas-dev/pandas,https://github.com/pandas-dev/pandas,46644,Python,3,23.90571759259259,2.6666666666666665
metabase/metabase,https://github.com/metabase/metabase,43815,Clojure,3,55.52232638888889,1.3333333333333333
bevyengine/bevy,https://github.com/bevyengine/bevy,42298,Rust,3,6.953009259259259,8.333333333333334
ziglang/zig,https://github.com/ziglang/zig,41286,Zig,3,459.60706018518516,4.333333333333333
curl/curl,https://github.com/curl/curl,39339,C,3,7.929421296296296,14.666666666666666
appsmithorg/appsmith,https://github.com/appsmithorg/appsmith,38041,TypeScript,3,51.12119212962963,1.3333333333333333
duckdb/duckdb,https://github.com/duckdb/duckdb,33000,C++,3,28.707905092592593,2.3333333333333335
servo/servo,https://github.com/servo/servo,31568,Rust,3,115.7796875,4.666666666666667
openssl/openssl,https://github.com/openssl/openssl,28600,C,3,15.718726851851851,6.0
deepset-ai/haystack,https://github.com/deepset-ai/haystack,22740,Python,3,4.648344907407408,0.3333333333333333
cilium/cilium,https://github.com/cilium/cilium,22505,Go,3,138.42921296296296,9.666666666666666
jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster,22196,TypeScript,3,42.916412037037034,5.666666666666667
NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,21874,Nix,3,31.70634259259259,4.0
neondatabase/neon,https://github.com/neondatabase/neon,19769,Rust,3,86.20427083333334,8.333333333333334
oxc-project/oxc,https://github.com/oxc-project/oxc,16439,Rust,3,35.51870370370371,6.0
influxdata/telegraf,https://github.com/influxdata/telegraf,16271,Go,3,849.2588425925926,5.0
quarkusio/quarkus,https://github.com/quarkusio/quarkus,14987,Java,3,5.014166666666667,8.0
solana-labs/solana,https://github.com/solana-labs/solana,14454,Rust,3,3.95974537037037,4.0
pytest-dev/pytest,https://github.com/pytest-dev/pytest,13101,Python,3,8.075775462962962,8.666666666666666
trinodb/trino,https://github.com/trinodb/trino,11921,Java,3,428.09150462962964,2.0
seleniumbase/SeleniumBase,https://github.com/seleniumbase/SeleniumBase,11663,Python,3,0.9524305555555556,3.6666666666666665
getsentry/sentry-javascript,https://github.com/getsentry/sentry-javascript,8422,TypeScript,3,6.869537037037037,0.6666666666666666
zeek/zeek,https://github.com/zeek/zeek,7152,C++,3,31.45841435185185,3.3333333333333335
electron/forge,https://github.com/electron/forge,6859,TypeScript,3,595.3440625,0.6666666666666666
Mbed-TLS/mbedtls,https://github.com/Mbed-TLS/mbedtls,6129,C,3,27.915902777777777,6.666666666666667
ibis-project/ibis,https://github.com/ibis-project/ibis,6120,Python,3,0.41834490740740743,3.6666666666666665
mui/mui-x,https://github.com/mui/mui-x,5461,TypeScript,3,3.2141435185185183,3.6666666666666665
beeware/toga,https://github.com/beeware/toga,5184,Python,3,19.924652777777776,10.333333333333334
quantumlib/Cirq,https://github.com/quantumlib/Cirq,4707,Python,3,27.98871527777778,7.0
microsoft/vscode-python,https://github.com/microsoft/vscode-python,4483,TypeScript,3,195.9474074074074,8.333333333333334
apache/opendal,https://github.com/apache/opendal,4444,Rust,3,9.05298611111111,1.3333333333333333
helidon-io/helidon,https://github.com/helidon-io/helidon,3681,Java,3,64.15946759259259,2.3333333333333335
StackExchange/dnscontrol,https://github.com/StackExchange/dnscontrol,3526,Go,3,57.02356481481481,6.333333333333333
lowRISC/opentitan,https://github.com/lowRISC/opentitan,2974,SystemVerilog,3,144.74305555555554,8.0
com-lihaoyi/mill,https://github.com/com-lihaoyi/mill,2589,Scala,3,46.495115740740744,7.666666666666667
napari/napari,https://github.com/napari/napari,2479,Python,3,894.5388773148148,7.0
apache/lucenenet,https://github.com/apache/lucenenet,2337,C#,3,14.485613425925926,7.333333333333333
